country,institution,year,legislative,judicial,organizational,federal,cli_overall
Argentina,Labor,2024,0.88,0.92,0.95,0.75,0.87
Argentina,Housing,1970,0.72,0.35,0.15,0.85,0.52
Chile,Labor,2024,0.18,0.26,0.31,0.22,0.24
Brazil,Labor,2024,0.42,0.48,0.52,0.38,0.45
Spain,Labor,2024,0.54,0.58,0.48,0.42,0.51
USA,Labor,1980,0.18,0.28,0.12,0.75,0.33
USA,Labor,2000,0.24,0.35,0.15,0.72,0.37
USA,Labor,2024,0.30,0.45,0.18,0.70,0.41
USA,Labor,2035,0.38,0.55,0.22,0.68,0.49
# TO POPULATE: Add more country-institution-year combinations
# Historical data for Argentina (1946-present evolution)
# More detailed USA trajectory (every 5 years 1980-2024)
# Additional countries for validation
